名前,英語名前,全国図鑑番号,ガラル図鑑番号,特性,タイプ,身長,体重,技
ベロリンガ,Lickitung,108,-1,マイペース/どんかん/ノーてんき,ノーマル,1.2m,65.5kg,10まんボルト/あくむ/あなをほる/あばれる/あまごい/いあいぎり/いかり/いばる/いびき/いやしのすず/いやなおと/いわくだき/いわなだれ/うずしお/おんがえし/かいりき/かえんほうしゃ/かげぶんしん/かたきうち/かなしばり/かみなり/かみなりパンチ/からげんき/かわらわり/がまん/がんせきふうじ/きあいパンチ/きつけ/こごえるかぜ/こらえる/ころがる/さきどり/しぜんのめぐみ/したでなめる/しねんのずつき/しぼりとる/しめつける/じこあんじ/じごくぐるま/じしん/じだんだ/じならし/じわれ/すてみタックル/すなあらし/ずつき/たたきつける/だいもんじ/だくりゅう/ちきゅうなげ/ちょうおんぱ/つるぎのまい/てだすけ/でんげきは/とっしん/どくどく/どろかけ/どろぼう/ないしょばなし/なげつける/なしくずし/なみのり/にほんばれ/ねがいごと/ねごと/ねむる/のしかかり/のろい/はかいこうせん/はたきおとす/はらだいこ/ばくれつパンチ/ひみつのちから/ふぶき/ふみつけ/ふるいたてる/ぶんまわす/ほのおのパンチ/まきつく/まもる/まるくなる/みがわり/みずでっぽう/みずのはどう/めざめるパワー/ものまね/やきつくす/やつあたり/ゆうわく/ゆめくい/りんしょう/れいとうパンチ/れいとうビーム/アイアンテール/アクアテール/アームハンマー/カウンター/ギガインパクト/グロウパンチ/ゲップ/シャドーボール/ソーラービーム/ドわすれ/ドラゴンテール/バブルこうせん/パワーウィップ/マグニチュード/メガトンキック/メガトンパンチ/メロメロ/リフレッシュ/ロケットずつき/ロッククライム
ドガース,Koffing,109,250,ふゆう/かがくへんかガス/あくしゅう,どく,0.6m,1.0kg,10まんボルト/あくのはどう/あまごい/いかり/いたみわけ/いちゃもん/いばる/いびき/いやなおと/うらみ/えんまく/おきみやげ/おにび/おんがえし/おんねん/かえんほうしゃ/かげぶんしん/かみなり/からげんき/がまん/くろいきり/こらえる/ころがる/さわぐ/しぜんのめぐみ/しっぺがえし/じばく/たいあたり/たくわえる/だいばくはつ/だいもんじ/ちょうはつ/でんげきは/でんじほう/どくどく/どくびし/どくガス/どろぼう/ないしょばなし/にほんばれ/ねごと/ねむる/のみこむ/のろい/はきだす/ひみつのちから/まとわりつく/まもる/みがわり/みちづれ/めざめるパワー/ものまね/やきつくす/やつあたり/ゆうわく/りんしょう/クリアスモッグ/ゲップ/サイケこうせん/サイコウェーブ/シャドーボール/ジャイロボール/スモッグ/ダメおし/フラッシュ/ヘドロこうげき/ヘドロばくだん/ヘドロウェーブ/ベノムショック/ベノムトラップ/メロメロ
トランセル,Metapod,11,14,だっぴ,むし,0.7m,9.9kg,いとをはく/いびき/かたくなる/たいあたり/てっぺき/むしくい/エレキネット
マタドガス,Weezing,110,-1,ふゆう/かがくへんかガス/あくしゅう,どく,1.2m,9.5kg,10まんボルト/あくのはどう/あまごい/いかり/いたみわけ/いちゃもん/いばる/いびき/いやなおと/うらみ/えんまく/おきみやげ/おにび/おんがえし/かえんほうしゃ/かげぶんしん/かみなり/からげんき/がまん/くろいきり/こらえる/ころがる/さわぐ/しぜんのめぐみ/しっぺがえし/じばく/たいあたり/だいばくはつ/だいもんじ/ちょうはつ/でんげきは/でんじほう/どくどく/どくびし/どくガス/どろぼう/ないしょばなし/にほんばれ/ねごと/ねっぷう/ねむる/のろい/はかいこうせん/ひみつのちから/まとわりつく/まもる/みがわり/みちづれ/めざめるパワー/ものまね/やきつくす/やつあたり/ゆうわく/りんしょう/ギガインパクト/クリアスモッグ/ゲップ/シャドーボール/ジャイロボール/スモッグ/ダブルアタック/ダメおし/フラッシュ/ヘドロこうげき/ヘドロばくだん/ヘドロウェーブ/ベノムショック/ベノムトラップ/メロメロ
マタドガス,Weezing,110,251,ふゆう/かがくへんかガス/ミストメイカー,どく/フェアリー,3.0m,16.0kg,10まんボルト/あくのはどう/あまごい/いかり/いたみわけ/いちゃもん/いばる/いびき/いやなおと/うらみ/えんまく/おきみやげ/おにび/おんがえし/おんねん/かえんほうしゃ/かげぶんしん/かみなり/からげんき/がまん/きりばらい/くろいきり/こらえる/ころがる/さわぐ/しぜんのめぐみ/しっぺがえし/じばく/じゃれつく/たいあたり/たくわえる/だいばくはつ/だいもんじ/ちょうはつ/でんげきは/でんじほう/どくどく/どくびし/どくガス/どろぼう/ないしょばなし/にほんばれ/ねごと/ねっぷう/ねむる/のみこむ/のろい/はかいこうせん/はきだす/ひみつのちから/ぶんまわす/まとわりつく/まもる/みがわり/みちづれ/めざめるパワー/ものまね/やきつくす/やつあたり/ゆうわく/ようせいのかぜ/りんしょう/アロマセラピー/アロマミスト/オーバーヒート/ギガインパクト/クリアスモッグ/ゲップ/サイケこうせん/サイコウェーブ/シャドーボール/ジャイロボール/スモッグ/ダブルアタック/ダメおし/フラッシュ/ヘドロこうげき/ヘドロばくだん/ヘドロウェーブ/ベノムショック/ベノムトラップ/マジカルシャイン/ミストフィールド/メロメロ/ワンダースチーム/ワンダールーム
サイホーン,Rhyhorn,111,264,ひらいしん/いしあたま/すてみ,じめん/いわ,1.0m,115.0kg,10まんばりき/10まんボルト/あなをほる/あばれる/あまごい/いかり/いばる/いびき/いわくだき/いわなだれ/うちおとす/うらみ/おいうち/おんがえし/かいりき/かえんほうしゃ/かげぶんしん/かみくだく/かみなり/かみなりのキバ/からげんき/がまん/がむしゃら/がんせきふうじ/きしかいせい/げんしのちから/こおりのキバ/こごえるかぜ/こらえる/ころがる/こわいかお/さわぐ/しぜんのめぐみ/しっぺがえし/しっぽをふる/じしん/じだんだ/じならし/じわれ/すてみタックル/すなあらし/ずつき/たいあたり/たがやす/だいちのちから/だいもんじ/つのでつく/つのドリル/つるぎのまい/でんげきは/でんじほう/とっしん/どくづき/どくどく/どろかけ/どろぼう/ないしょばなし/なしくずし/にほんばれ/にらみつける/ねごと/ねむる/のしかかり/のろい/ばかぢから/ひみつのちから/ふぶき/ふみつけ/ほえる/ほのおのキバ/まもる/みがわり/みだれづき/めざめるパワー/ものまね/やきつくす/やつあたり/ゆうわく/りゅうのはどう/りんしょう/れいとうビーム/アイアンテール/アクアテール/カウンター/ガードシェア/ステルスロック/ストーンエッジ/スマートホーン/ドラゴンダイブ/ドリルライナー/ブレイククロー/マグニチュード/マッドショット/メガホーン/メタルバースト/メロメロ/ロケットずつき/ロックカット/ロッククライム/ロックブラスト
サイドン,Rhydon,112,265,ひらいしん/いしあたま/すてみ,じめん/いわ,1.9m,120.0kg,10まんばりき/10まんボルト/あなをほる/あばれる/あまごい/いあいぎり/いかり/いばる/いびき/いわくだき/いわなだれ/うずしお/うちおとす/うらみ/おいうち/おんがえし/かいりき/かえんほうしゃ/かげぶんしん/かみくだく/かみなり/かみなりのキバ/かみなりパンチ/からげんき/かわらわり/がまん/がむしゃら/がんせきふうじ/きあいだま/きあいパンチ/きしかいせい/げきりん/げんしのちから/こおりのキバ/こごえるかぜ/こらえる/ころがる/こわいかお/さわぐ/しぜんのめぐみ/しっぺがえし/しっぽをふる/じごくぐるま/じしん/じだんだ/じならし/じわれ/すてみタックル/すなあらし/ずつき/たいあたり/たがやす/だいちのちから/だいもんじ/ちきゅうなげ/つのでつく/つのドリル/つるぎのまい/てだすけ/てっぺき/でんげきは/でんじほう/とおせんぼう/とっしん/どくづき/どくどく/どろかけ/どろぼう/ないしょばなし/なげつける/なしくずし/なみのり/にほんばれ/にらみつける/ねごと/ねむる/のしかかり/のろい/はかいこうせん/ばかぢから/ばくれつパンチ/ひみつのちから/ふぶき/ふみつけ/ぶんまわす/ほえる/ほのおのキバ/ほのおのパンチ/まもる/みがわり/みずでっぽう/みだれづき/めざめるパワー/ものまね/やきつくす/やつあたり/ゆうわく/ゆきなだれ/りゅうのはどう/りんしょう/れいとうパンチ/れいとうビーム/れんぞくぎり/アイアンテール/アクアテール/アームハンマー/カウンター/ガードシェア/ギガインパクト/グロウパンチ/シャドークロー/ステルスロック/ストーンエッジ/スマートホーン/ドラゴンダイブ/ドラゴンテール/ドリルライナー/ネコにこばん/ハイドロポンプ/バブルこうせん/ヒートスタンプ/ブレイククロー/ヘビーボンバー/ボディプレス/マグニチュード/マッドショット/メガトンキック/メガトンパンチ/メガホーン/メタルバースト/メロメロ/ロケットずつき/ロックカット/ロッククライム/ロックブラスト/ワイドブレイカー
ラッキー,Chansey,113,-1,しぜんかいふく/てんのめぐみ/いやしのこころ,ノーマル,1.1m,34.6kg,10まんボルト/あまいかおり/あまえる/あまごい/あられ/いかり/いばる/いびき/いやしのすず/いやしのねがい/いやしのはどう/いわくだき/いわなだれ/うたう/おうふくビンタ/おんがえし/かいりき/かえんほうしゃ/かげぶんしん/かたきうち/かみなり/かみなりパンチ/からげんき/かわらわり/がまん/がむしゃら/がんせきふうじ/きあいパンチ/くさむすび/こごえるかぜ/こらえる/ころがる/さわぐ/しぜんのめぐみ/しっぽをふる/しねんのずつき/しんぴのまもり/じこあんじ/じごくぐるま/じしん/じだんだ/じならし/じゅうりょく/すてみタックル/すなあらし/ずつき/だいもんじ/ちいさくなる/ちきゅうなげ/てだすけ/てんしのキッス/でんげきは/でんじは/でんじほう/とぎすます/とっしん/とっておき/どくどく/どろかけ/どろばくだん/ないしょばなし/なきごえ/なげつける/にほんばれ/ねがいごと/ねごと/ねむる/のしかかり/のろい/はかいこうせん/はたく/ばくれつパンチ/ひかりのかべ/ひみつのちから/ふぶき/ふるいたてる/ほしがる/ほのおのパンチ/まねっこ/まもる/まるくなる/みがわり/みずでっぽう/みずのはどう/めいそう/めざめるパワー/ものまね/やきつくす/やつあたり/ゆうわく/ゆびをふる/ゆめくい/よこどり/りんしょう/れいとうパンチ/れいとうビーム/アイアンテール/アロマセラピー/エコーボイス/カウンター/ギガインパクト/ギフトパス/グロウパンチ/サイコウェーブ/サイコキネシス/サイドチェンジ/シャドーボール/スキルスワップ/ステルスロック/ソーラービーム/タマゴうみ/タマゴばくだん/チャージビーム/テレキネシス/テレポート/トライアタック/ドレインパンチ/ハイパーボイス/バブルこうせん/フラッシュ/プレゼント/マジカルシャイン/メガトンキック/メガトンパンチ/メロメロ/リサイクル/リフレクター/リフレッシュ/ロケットずつき/ロッククライム/ワイルドボルト
モンジャラ,Tangela,114,-1,ようりょくそ/リーフガード/さいせいりょく,くさ,1.0m,35.0kg,あさのひざし/あまいかおり/いあいぎり/いかり/いかりのこな/いたみわけ/いばる/いびき/いわくだき/おんがえし/かげぶんしん/からげんき/からみつく/がまん/がむしゃら/くさむすび/くすぐる/げんしのちから/こうごうせい/こらえる/しぜんのちから/しぜんのめぐみ/しびれごな/しぼりとる/しめつける/じこあんじ/じたばた/すいとる/すてみタックル/ずつき/せいちょう/たたきつける/つるぎのまい/つるのムチ/でんげきは/とっしん/どくどく/どくのこな/どろぼう/ないしょばなし/なやみのタネ/にほんばれ/ねごと/ねむりごな/ねむる/ねをはる/ねんりき/のしかかり/のろい/はかいこうせん/はたきおとす/ひみつのちから/まとわりつく/まもる/みがわり/めざましビンタ/めざめるパワー/ものまね/やつあたり/やどりぎのタネ/ゆうわく/りんしょう/エナジーボール/ギガインパクト/ギガドレイン/グラスフィールド/ソーラービーム/タネばくだん/タネマシンガン/ドわすれ/パワーウィップ/パワースワップ/フラッシュ/ヘドロばくだん/メガドレイン/メロメロ/リフレクター/リーフストーム/ロケットずつき
ガルーラ,Kangaskhan,115,-1,はやおき/きもったま/せいしんりょく,ノーマル,2.2m,80.0kg,10まんボルト/あくび/あなをほる/あまごい/あられ/いあいぎり/いかり/いばる/いびき/いわくだき/いわなだれ/うずしお/うたう/うらみ/おんがえし/かいりき/かえんほうしゃ/かげぶんしん/かたきうち/かなしばり/かみくだく/かみつく/かみなり/かみなりパンチ/からげんき/かわらわり/がまん/がむしゃら/がんせきふうじ/きあいだま/きあいだめ/きあいパンチ/きしかいせい/きりふだ/けたぐり/げきりん/こごえるかぜ/こらえる/さわぐ/しぜんのめぐみ/しっぽをふる/しんぴのまもり/じごくぐるま/じしん/じならし/じわれ/すてみタックル/すなあらし/ずつき/だいもんじ/ちきゅうなげ/つばめがえし/てだすけ/でんげきは/でんじほう/とっしん/ともえなげ/どくどく/どろかけ/どろぼう/ないしょばなし/なげつける/なしくずし/なみのり/にほんばれ/にらみつける/ねがいごと/ねこだまし/ねごと/ねむる/のしかかり/のろい/はかいこうせん/ばくれつパンチ/ひみつのちから/ふいうち/ふぶき/ふみつけ/ふるいたてる/ほえる/ほしがる/ほのおのパンチ/まもる/みがわり/みずでっぽう/みずのはどう/みやぶる/めざめるパワー/ものまね/やきつくす/やつあたり/ゆうわく/ゆきなだれ/りんしょう/れいとうパンチ/れいとうビーム/れんぞくぎり/れんぞくパンチ/アイアンテール/アクアテール/アームハンマー/カウンター/ギガインパクト/グロウパンチ/シャドークロー/シャドーボール/ソーラービーム/ダブルアタック/ドレインパンチ/バブルこうせん/ピヨピヨパンチ/ブレイククロー/メガトンキック/メガトンパンチ/メロメロ/ロケットずつき/ロッククライム
タッツー,Horsea,116,-1,すいすい/スナイパー/しめりけ,みず,0.4m,8.0kg,あまごい/あられ/あわ/いかり/いばる/いびき/うずしお/えんまく/おんがえし/かげぶんしん/かなしばり/かまいたち/からげんき/がまん/きあいだめ/げきりん/こうそくいどう/こごえるかぜ/こらえる/しおみず/しぜんのめぐみ/じたばた/すてみタックル/ずつき/たきのぼり/たつまき/だくりゅう/とっしん/とびはねる/どくどく/ないしょばなし/なみのり/にらみつける/ねごと/ねっとう/ねむる/のろい/はねる/ひみつのちから/ふぶき/まもる/みがわり/みずでっぽう/みずのはどう/めざめるパワー/ものまね/やつあたり/ゆうわく/りゅうのいかり/りゅうのいぶき/りゅうのはどう/りゅうのまい/りんしょう/れいとうビーム/オクタンほう/オーロラビーム/クリアスモッグ/シグナルビーム/スピードスター/ダイビング/ハイドロポンプ/バブルこうせん/メロメロ/ラスターカノン/ロケットずつき
シードラ,Seadra,117,-1,どくのトゲ/スナイパー/しめりけ,みず,1.2m,25.0kg,あまごい/あられ/あわ/いかり/いばる/いびき/うずしお/えんまく/おんがえし/かげぶんしん/かなしばり/かまいたち/からげんき/がまん/きあいだめ/げきりん/こうそくいどう/こごえるかぜ/こらえる/しおみず/しぜんのめぐみ/じたばた/すてみタックル/ずつき/たきのぼり/たつまき/だくりゅう/とぎすます/とっしん/とびはねる/どくどく/ないしょばなし/なみのり/にらみつける/ねごと/ねっとう/ねむる/のろい/はかいこうせん/はねる/ひみつのちから/ふぶき/まもる/みがわり/みずでっぽう/みずのはどう/めざめるパワー/ものまね/やつあたり/ゆうわく/りゅうのいかり/りゅうのいぶき/りゅうのはどう/りゅうのまい/りんしょう/れいとうビーム/オクタンほう/オーロラビーム/ギガインパクト/クリアスモッグ/シグナルビーム/スピードスター/ダイビング/ハイドロポンプ/バブルこうせん/メロメロ/ラスターカノン/ロケットずつき
トサキント,Goldeen,118,146,すいすい/みずのベール/ひらいしん,みず,0.6m,15.0kg,あまごい/あられ/いかり/いばる/いびき/うずしお/おんがえし/かげぶんしん/からげんき/がまん/くろいきり/こうそくいどう/こごえるかぜ/こらえる/しぜんのめぐみ/しっぽをふる/じごくづき/じたばた/すてみタックル/たきのぼり/だくりゅう/ちょうおんぱ/つつく/つのでつく/つのドリル/つぼをつく/つるぎのまい/とっしん/とびはねる/どくづき/どくどく/どろあそび/どろかけ/ないしょばなし/なみのり/ねごと/ねっとう/ねむる/のしかかり/のろい/はたきおとす/ひみつのちから/ふぶき/まもる/みがわり/みずあそび/みずでっぽう/みずのはどう/みずびたし/みだれづき/めざめるパワー/ものまね/やつあたり/ゆうわく/りんしょう/れいとうビーム/れんぞくぎり/アクアテール/アクアリング/サイケこうせん/シグナルビーム/スピードスター/スマートホーン/ダイビング/ドリルライナー/ハイドロポンプ/バブルこうせん/マッドショット/メガホーン/メロメロ/ロケットずつき
